state,city,date,company,carjacking_happened_via_the_app,driver_deceased,source,additional_sources
Illinois,Chicago,11/2020,Uber,Yes,,https://chicago.cbslocal.com/2021/02/02/rideshare-drivers-teaming-up-to-fight-for-safety-improvements-to-prevent-carjackings/,"['https://www.pantagraph.com/news/state-and-regional/crime-and-courts/carjacking-victims-fears-are-realized-as-chicago-fights-to-control-the-crime/article_5bea04f9-80d2-5b01-bdcd-aaa7474964c6.html', 'https://abc7chicago.com/chicago-carjacking-rideshare-uber-lyft/10401859/']"
Illinois,Chicago,11/2020,Lyft,Yes,,https://minnesota.cbslocal.com/2020/12/29/lyft-driver-carjacked-chicago/,
Illinois,Chicago,11/2020,Lyft,Yes,,https://chicago.cbslocal.com/2021/02/04/13-year-old-carjacking-suspect-arrested-after-forcing-lyft-driver-from-car/,
Illinois,Chicago,11/05/2020,Uber,Yes,,https://wgntv.com/news/chicago-news/police-issue-alert-after-recent-carjackings-of-rideshare-drivers-on-south-side/,
Illinois,Chicago,11/09/2020,Lyft,Yes,,https://wgntv.com/news/chicago-news/im-thankful-im-alive-chicago-lyft-driver-recalls-south-side-carjacking/,
Illinois,Chicago,11/10/2020,Uber,Yes,,https://cwbchicago.com/2020/12/dumb-serial-carjacker-abandons-vehicle-after-100-feet-because-he-cant-drive-a-stick-shift-prosecutors-say.html,
Illinois,Chicago,11/11/2020,Uber,Yes,,https://cwbchicago.com/2020/11/uber-lyft-drivers-call-for-better-system-as-carjackings-skyrocket.html,
Illinois,Chicago,11/11/2020,Uber,No,,https://cwbchicago.com/2020/11/uber-driver-carjacked-while-waiting-for-passenger-in-old-town-cops-say.html,
Illinois,Chicago,11/14/2020,Uber ,Unclear,,https://cwbchicago.com/2020/11/another-uber-driver-carjacked-in-lincoln-park.html,
Illinois,Chicago,11/21/2020,Lyft,Yes,,https://cwbchicago.com/2020/12/dumb-serial-carjacker-abandons-vehicle-after-100-feet-because-he-cant-drive-a-stick-shift-prosecutors-say.html,
Illinois,Chicago,11/29/2020,Uber,Yes,,https://cwbchicago.com/2020/12/dumb-serial-carjacker-abandons-vehicle-after-100-feet-because-he-cant-drive-a-stick-shift-prosecutors-say.html,
Illinois,Chicago,12/10/2020,Uber,Yes,,https://www.gofundme.com/f/280hfgp62o?qid=1de5795a50ff722648e678b1e32d778b,['https://www.youtube.com/watch?app=desktop&v=GkE0QWHGBD4']
Illinois,Chicago,12/11/2020,Unclear,Unclear,,https://home.chicagopolice.org/wp-content/uploads/26-Apr-21-Juvenile-Charged-with-Three-Counts-of-Aggravated-Vehicular-Hijacking-_-Dec.-2020-in-22nd-District.pdf,['https://www.chicagotribune.com/news/breaking/ct-carjackings-teen-charged-20210426-dbtzfms3gfamfdv5mouhbwcnve-story.html']
Illinois,Chicago,12/11/2020,Unclear,Unclear,,https://home.chicagopolice.org/wp-content/uploads/26-Apr-21-Juvenile-Charged-with-Three-Counts-of-Aggravated-Vehicular-Hijacking-_-Dec.-2020-in-22nd-District.pdf,['https://www.chicagotribune.com/news/breaking/ct-carjackings-teen-charged-20210426-dbtzfms3gfamfdv5mouhbwcnve-story.html']
Illinois,Chicago,12/12/2020,Lyft,Yes,,https://www.gofundme.com/f/z795b8-please-help-me?qid=483e92980c7667f6ffc8e83ac0481628,['https://www.newsbreak.com/news/2153697023884/chicago-carjacking-victims-surprised-with-free-cars-by-good-samaritan']
Illinois,Chicago,12/22/2020,Lyft,Yes,,https://home.chicagopolice.org/wp-content/uploads/16-Mar-21-Offender-Charged-with-Aggravated-Vehicular-Hijacking-Robbery-_Cornelius-Carr.pdf,['https://news.wttw.com/2021/03/16/chicago-teen-charged-december-carjacking-lyft-driver']
Illinois,Chicago,12/28/2020,Unclear,Yes,,https://cwbchicago.com/2021/01/uber-lyft-drivers-are-being-carjacked-by-passengers-in-wicker-park-police-say.html,['https://home.chicagopolice.org/community-alert-14th-district-robbery-p21-5-001ca/']
Illinois,Chicago,12/28/2020,Uber,Yes,,https://cwbchicago.com/2021/01/uber-lyft-drivers-are-being-carjacked-by-passengers-in-wicker-park-police-say.html,['https://home.chicagopolice.org/community-alert-14th-district-robbery-p21-5-001ca/']
Illinois,Chicago,01/09/2021,Unclear,Yes,,https://cwbchicago.com/2021/01/uber-lyft-drivers-are-being-carjacked-by-passengers-in-wicker-park-police-say.html,['https://home.chicagopolice.org/community-alert-14th-district-robbery-p21-5-001ca/']
Illinois,Chicago,01/09/2021,Unclear,Yes,,https://home.chicagopolice.org/community-alert-14th-district-robbery-p21-5-001ca/,
Illinois,Chicago,01/16/2021,Lyft,Yes,,https://home.chicagopolice.org/community-alert-14th-district-robbery-p21-5-001ca/,
Illinois,Chicago,01/16/2021,Unclear,Yes,,https://cwbchicago.com/2021/01/4-more-rideshare-drivers-carjacked-yesterday-as-uber-and-lyft-remain-silent.html,['https://home.chicagopolice.org/community-alert-14th-district-robbery-p21-5-001ca/']
Illinois,Chicago,01/17/2021,Lyft,Yes,,https://chicago.cbslocal.com/video/5228661-amid-rash-of-carjackings-rideshare-drivers-call-on-uber-and-lyft-to-help-protect-them/,['https://home.chicagopolice.org/community-alert-14th-district-robbery-p21-5-001ca/']
Illinois,Chicago,01/20/2021,Unclear,Yes,,https://cwbchicago.com/2021/01/4-more-rideshare-drivers-carjacked-yesterday-as-uber-and-lyft-remain-silent.html,
Illinois,Chicago,1/20/2021,Unclear,Unclear,,https://cwbchicago.com/2021/01/4-more-rideshare-drivers-carjacked-yesterday-as-uber-and-lyft-remain-silent.html,
Illinois,Chicago,1/20/2021,Uber,Yes,,https://cwbchicago.com/2021/01/4-more-rideshare-drivers-carjacked-yesterday-as-uber-and-lyft-remain-silent.html,
